"id","review","review_rating"
1,"Has columns for all the info I need at a glance when I get home from work. Nanny is able to fill it out easily....love it",5
2,"GREAT journal. We use this everyday to communicate feeding, medicine and other needs when I don't have time to give my nanny the full rundown. LOVE it! I've bought two!",5
3,"Great way to keep track of important daily activities/tasks when you are trying to get used to your new baby's routine.I include this as a gift to all of my friends now when they are having a baby.",5
4,"My son loves to chew on things and is still awaiting his first tooth. His older brother had the strawberry vibrating teether but I prefer this one because it doesn't look so feminine and it is also less expensive.",4
5,"This teether is ridiculous. It's huge, it's hard to clamp down on, and my daughter had no idea what was going on when it started vibrating in her mouth.It's just too big, awkward, and hard to push down on. Not worth the money, in my opinion.",1
6,"Initially, my baby was not able to cause it to vibrate on his own because he just wasn't chomping down hard enough. But now, he can do it. Now, he's able to see the cause and effect of using this. I like that. Plus, I think it feels good on his gums.",5
7,"My baby hated this thing so I cannot comment on it's effectiveness. Bit it seemed like a cool idea. Passed it on.",3
8,"Started potty training and this has been our best purchase. Rarely my crazy sleeper will roll to a part of the bed thats not covered and pee but usually this pad protects the sheets and saves me from having to change all the sheets. Stays put. Washes well",5
9,"What a waste of money and more importantly my time!This thing does not work well at al!! I can't fit a larger cable through it.  PLUS if you have plugs that go sideways like our ROKU does. You can't use it. So i had to buy a power strip but the power strip is too thick and won't work. So this ended up in the garbage.",1
10,"If you want to keep the plug in there forever, it is the best one. But the first time, you still need to open it to install. After you put it on the wall, it's really hard to remove. Another con is the cover is too small, that I cannot put anything other than a stand lamp in it.",1
11,"This is a perfect baby proofing tool.  The strip cover will cover most standard sized power strips.  There is a hole on the side for the power strip to plug into the outlet and a wide opening on top for it to connect to the devices plugged into it.  It is really easy to put together- just snap shut in 3 places.  It is also easy to adjust as there is a button on the side that allows you to slide it between different sizes.  Overall, best power strip cover I've seen.",5
12,"I believe that this product would prevent a child from tampering with a power strip, but the plastic is quite thin and I was worried as I used it that it would break. As I was installing it I tried to be very careful as it seemed as though the plastic was quite thin.",4
13,"I know they make these with a huge bulb on them now, but I still use the pairs of these I had from 10.5 years ago when my son was born.  I clip my 10 and 4 year olds' nails with these and they are steady and perfect and still clip fine.  Just bought a pair for a new mom-to-be friend, and have gifted them in the past.  These are all you need! And maybe some reading glasses and good light!",5
14,"Buy it! Buttons are nice and soft enough that baby can activate them. She carries this around everywhere. Just watch the toes as it is a bit heavy.",5
15,"My ten month old loves this toy. She is just learning to turn it over and press the different buttons to get the different sounds. It is quite heavy for her little arms though, so she does get frustrated at times. I find the music to be a little but too high-pitched for me, but it is better than many other musical toys we have had. Overall a great purchase.",4
16,"If you're like me you may have gone back and forth between this Graco and the Delta (Novel) playard. I ended up buying them both for my twins and here is the comparison.Ease of setup--they both take about a minute to put up. The graco was slightly easier to push the middle down that pops it all I to place.Weight & sturdiness--the graco feels lighter than the Delta (a good 5 lbs+), but the Delta feels a bit sturdier when set up, and seems slightly more durable.Shape--the graco is very squared off, and the Delta is square on bottom but curves inward as it goes up so the top railings are in a more round shape. This feels like its saving some space even though the dimensions are the same.Mattress--the graco has a very bright, colorful mattress pad with squares and bugs on it. It has a decent thickness in terms of padding for the baby to be comfortable. The pad also lays flat, but you do get a slight dip in the middle after a baby has been in there for a while. The Delta has a colorful mattress pad but with 'gentler' tones of color featuring the animals on the mesh sides. The padding is not as thick feeling as the graco, but the pad itself is more water and stain proof of a material than the graco. Even though it's not as padded feeling it feels sturdier. No dip in the middle, and I would feel a bit more comfortable with more weight in the Delta.Mesh---they both seem to have equally durable mesh. The graco has built in toys on each side of the mesh; whereas the Delta has the animals printed on the mesh.Price--the graco is more expensive than the Delta.All in all they are both nice. I think the better one depends on what you are planning on using it for. If it's going to be up all the time at your house or daycare, etc. I think the Delta is built sturdier and will be more durable with continued daily use. If you are using it to bring around with you places (hotel, camping, on the back deck, grandma's, etc). then I would go for the Graco because it is much lighter to lug around, and has built in toys so if you forget to bring some there is still toys for baby to play with. The graco also seems sturdy and durable; the Delta just seems a bit better in those departments; that's all.The 3ft by 3ft size is amazing!!  Wish I had bought one sooner!  We have twins and they both can play in one together without them feeling like they are on top of each other.",4
17,"I bought this for my nine month granddaughter when she comes to visit.  She loves it!  It's practical, sturdy and so easy to set up and take down.  The colors are bright and cheerful and the attached &#34;toys&#34; are so cute&#34;.",5
18,"This was perfect for traveling when my child was under 2. She loved the decorations on it and she was able to play with them. It is larger than an average pack n play, which was nice when she slept.",5
19,"We put this on our coffee table six months ago, all but one of the corners have fallen off repeatedly. The long strips dont really protect my child much. She will still bump into the table at times and it doesnt offer much cushion. It is not really thick enough or wide enough. Corners are a joke. The tape provided is not sticky enough. Just keeps coming off.",2
20,"These work for small corner surfaces. If you have a large surface to cover, like a table corner, make sure that you cut the strip in half. If you put it on as one long strip it will fall off.  Works good for coffee tables.",4
21,"When you first put this on the table you feel like it has made things safer for your child, however the first time they get near it they are able to pull it off because the adhesive provided with it doesn't hold well unless you have a completely flat surface to attach it to.  (I suppose if you use a stronger adhesive you would run the risk of damaging the table).Only buy if you have a large top face and edge to the table with no decorative surface changes (must be completely flat to hold at all)",1
22,"While I think it's a great fit for the toilet, my daughter won't sit on it for more than a couple minutes, having to adjust every few seconds because she says it &#34;isn't comfy&#34;.  After the great reviews and was actually recommended to me by my sister, it just doesn't work for our daughter.  I'm going to have to buy a cheap padded one I guess.  Stinks that I can't return this thing. Pretty expensive.",2
23,"I love this seat. I have two in my house and this one is my favorite. The kids say it's comfortable and it adjusts to fit the seat. Which is great, since we actually have a round seat in one bathroom and an oval one in the other. I keep this one in the main bathroom, since it's the favorite. Definitely recommend this to anyone who has smaller butts (you know, children) in the house.",5
